field_name,field_type
ano_eleicao,integer
codigo_eleicao,text
codigo_tipo_eleicao,text
data_eleicao,text
descricao_eleicao,text
nome_tipo_eleicao,text
nome_ue,text
sigla_ue,text
sigla_uf,text
numero_sequencial,text
codigo_tipo,integer
data_ultima_atualizacao,text
descricao_tipo,text
detalhe,text
hora_ultima_atualizacao,text
numero_ordem,text
valor,decimal
